date,open,high,low,close,volume,quote_volume
2024-02-01,42560.5,43288.0,41866.8,43072.6,274321.107,11658501786.30592
2024-02-02,43072.6,43480.0,42512.7,43182.0,205767.574,8854896870.13836
2024-02-03,43182.0,43372.2,42858.3,42992.4,89735.22,3867372627.98708
2024-02-04,42992.4,43112.1,42176.7,42570.3,127421.548,5453304864.80739
2024-02-05,42570.3,43580.0,42235.1,42692.9,240655.549,10308099591.89269
2024-02-06,42692.9,43378.8,42559.8,43079.1,196157.643,8429315912.62482
2024-02-07,43079.1,44388.0,42763.4,44326.2,252057.708,10954644814.28782
2024-02-08,44326.3,45600.0,44306.8,45269.1,299738.288,13472865468.76801
2024-02-09,45269.2,48230.3,45218.1,47116.1,519919.419,24408544252.73436
2024-02-10,47116.1,48189.6,46836.4,47732.6,179626.604,8517076446.277
2024-02-11,47732.6,48600.0,47539.4,48303.4,209951.626,10111698916.38982
2024-02-12,48303.4,50413.2,47702.0,49943.6,450895.202,22160439674.1704
2024-02-13,49943.6,50428.8,48301.0,49696.4,382348.085,18877386934.6482
2024-02-14,49696.4,52100.0,49215.7,51823.2,395191.791,20230765100.11763
2024-02-15,51823.1,52859.0,51334.9,51898.5,392724.603,20470765163.49206
2024-02-16,51898.4,52623.0,51611.7,52148.6,259819.793,13526420001.52013
2024-02-17,52148.7,52192.8,50647.5,51679.4,222342.005,11434408252.82568
2024-02-18,51679.5,52450.0,51178.0,52175.9,166636.426,8636668534.04451
2024-02-19,52175.9,52532.9,51688.8,51813.8,196387.978,10243057368.09604
2024-02-20,51813.7,53090.9,50788.0,52297.4,388913.064,20209071433.34851
2024-02-21,52297.3,52402.3,50528.4,51877.8,308127.301,15814919137.63912
2024-02-22,51877.9,52130.8,50967.5,51316.9,244144.647,12596855772.34223
2024-02-23,51316.9,51576.3,50512.7,50771.9,215474.562,11000943935.5279
2024-02-24,50771.9,51736.6,50611.4,51602.1,104944.457,5375932540.32768
2024-02-25,51602.1,52050.0,51300.4,51764.9,122177.26,6314690489.48664
2024-02-26,51764.9,54991.8,50922.5,54511.6,393466.231,20859521852.00051
2024-02-27,54511.7,57780.0,54495.0,57074.5,511475.535,28943003745.31963
2024-02-28,57074.5,64300.0,56730.1,62487.9,1010118.442,61121395260.18302
2024-02-29,62487.9,63762.8,60452.0,61203.3,584713.883,36342923573.76713
2024-03-01,61203.3,63199.0,60844.8,62430.6,299231.827,18555341528.19973
2024-03-02,62430.6,62513.1,61605.0,62039.9,159283.629,9880073062.42179
2024-03-03,62039.9,63330.9,61339.5,63178.5,200312.503,12480586261.48198
2024-03-04,63178.5,68600.0,62299.0,68296.4,632882.144,41606992664.57328
2024-03-05,68296.5,69350.0,59112.0,63747.4,1053025.132,68785497181.28033
2024-03-06,63747.5,67729.5,62829.3,66128.1,534011.813,35282709655.61008
2024-03-07,66128.0,68101.3,65609.3,66870.0,296092.788,19831473590.1586
2024-03-08,66870.0,70330.8,66120.0,68180.2,459387.207,31244040068.19154
2024-03-09,68180.2,68608.7,67908.7,68360.1,94899.005,6480692325.8141
2024-03-10,68360.2,69999.8,68155.0,69001.8,233596.523,16185393841.67323
2024-03-11,69001.8,72890.0,67000.0,72153.8,474396.897,33718116318.4871
2024-03-12,72153.9,73370.0,68600.0,71503.2,472072.331,33679961862.9098
2024-03-13,71503.3,73755.0,71388.1,73127.6,288446.338,20996680531.98601
2024-03-14,73127.6,73881.4,68600.0,71455.5,513901.237,36716558419.97936
2024-03-15,71455.6,72500.0,65580.0,69552.2,705810.685,48272589072.43203
2024-03-16,69552.1,70097.6,64750.0,65351.0,333426.129,22541723738.08737
2024-03-17,65351.0,68972.4,64559.8,68447.9,314890.309,21028336103.89335
2024-03-18,68447.9,69044.4,66601.6,67660.0,317885.916,21525969323.10516
2024-03-19,67660.0,68178.6,61582.8,61974.1,700466.795,45022413705.43772
2024-03-20,61974.1,68140.0,60800.0,67876.4,637362.465,40691118766.89385
2024-03-21,67876.4,68293.9,64550.1,65539.9,347218.385,23114287433.97302
2024-03-22,65539.9,66691.9,62294.0,63826.0,401149.333,25742798562.87778
2024-03-23,63826.1,66050.0,63020.2,64020.3,239124.0,15454464441.79797
2024-03-24,64020.4,67700.0,63822.0,67260.9,244179.435,15988550837.61994
2024-03-25,67260.9,71228.3,66427.6,69920.5,395156.191,27232095366.19894
